image_id,filename,extension,path,practice_data,chrome_not_safari,filesize,participant_id,sharpness,color_contrast,general,gender,age,expertise,colorblind,bad_vision
44,5,webp,evaluatie_afbeeldingen/evaluatiereeks/5.webp,0,1,80974,2,3,2,4,female,22,1,0,0
45,6,jpf,evaluatie_afbeeldingen/evaluatiereeks/6.jpf,0,0,968331,2,4,4,5,female,22,1,0,0
46,6,jpg,evaluatie_afbeeldingen/evaluatiereeks/6.jpg,0,1,281121,2,4,5,5,female,22,1,0,0
47,6,png,evaluatie_afbeeldingen/evaluatiereeks/6.png,0,0,1536825,2,5,5,5,female,22,1,0,0
48,6,webp,evaluatie_afbeeldingen/evaluatiereeks/6.webp,0,1,70210,2,3,4,4,female,22,1,0,0
49,7,jpf,evaluatie_afbeeldingen/evaluatiereeks/7.jpf,0,0,1227009,2,4,4,5,female,22,1,0,0
50,7,jpg,evaluatie_afbeeldingen/evaluatiereeks/7.jpg,0,1,431208,2,4,5,5,female,22,1,0,0
51,7,png,evaluatie_afbeeldingen/evaluatiereeks/7.png,0,0,2016271,2,5,5,5,female,22,1,0,0
52,7,webp,evaluatie_afbeeldingen/evaluatiereeks/7.webp,0,1,144508,2,4,4,4,female,22,1,0,0
53,8,jpf,evaluatie_afbeeldingen/evaluatiereeks/8.jpf,0,0,1695416,2,3,3,5,female,22,1,0,0
54,8,jpg,evaluatie_afbeeldingen/evaluatiereeks/8.jpg,0,1,704914,2,4,4,4,female,22,1,0,0
55,8,png,evaluatie_afbeeldingen/evaluatiereeks/8.png,0,0,2823455,2,3,3,4,female,22,1,0,0
56,8,webp,evaluatie_afbeeldingen/evaluatiereeks/8.webp,0,1,325328,2,3,4,4,female,22,1,0,0
57,9,jpf,evaluatie_afbeeldingen/evaluatiereeks/9.jpf,0,0,1080728,2,5,5,5,female,22,1,0,0
58,9,jpg,evaluatie_afbeeldingen/evaluatiereeks/9.jpg,0,1,327540,2,4,5,4,female,22,1,0,0
59,9,png,evaluatie_afbeeldingen/evaluatiereeks/9.png,0,0,1863835,2,4,5,5,female,22,1,0,0
60,9,webp,evaluatie_afbeeldingen/evaluatiereeks/9.webp,0,1,95830,2,3,3,5,female,22,1,0,0
1,1,jpf,evaluatie_afbeeldingen/testreeks/1.jpf,1,0,822933,3,4,4,4,male,21,0,0,0
2,1,jpg,evaluatie_afbeeldingen/testreeks/1.jpg,1,1,206934,3,4,5,4,male,21,0,0,0
3,1,png,evaluatie_afbeeldingen/testreeks/1.png,1,0,1814962,3,4,4,4,male,21,0,0,0
4,1,webp,evaluatie_afbeeldingen/testreeks/1.webp,1,1,84904,3,4,5,5,male,21,0,0,0
5,2,jpf,evaluatie_afbeeldingen/testreeks/2.jpf,1,0,1246850,3,4,4,4,male,21,0,0,0
6,2,jpg,evaluatie_afbeeldingen/testreeks/2.jpg,1,1,387401,3,5,5,5,male,21,0,0,0
7,2,png,evaluatie_afbeeldingen/testreeks/2.png,1,0,2701552,3,3,4,3,male,21,0,0,0
8,2,webp,evaluatie_afbeeldingen/testreeks/2.webp,1,1,281960,3,3,4,4,male,21,0,0,0
9,10,jpf,evaluatie_afbeeldingen/evaluatiereeks/10.jpf,0,0,1007063,3,5,5,5,male,21,0,0,0
10,10,jpg,evaluatie_afbeeldingen/evaluatiereeks/10.jpg,0,1,284665,3,5,5,5,male,21,0,0,0
11,10,png,evaluatie_afbeeldingen/evaluatiereeks/10.png,0,0,1628400,3,5,5,5,male,21,0,0,0
12,10,webp,evaluatie_afbeeldingen/evaluatiereeks/10.webp,0,1,442500,3,4,4,3,male,21,0,0,0
13,11,jpf,evaluatie_afbeeldingen/evaluatiereeks/11.jpf,0,0,1181661,3,5,4,4,male,21,0,0,0
14,11,jpg,evaluatie_afbeeldingen/evaluatiereeks/11.jpg,0,1,650290,3,5,4,4,male,21,0,0,0
15,11,png,evaluatie_afbeeldingen/evaluatiereeks/11.png,0,0,1468210,3,4,5,4,male,21,0,0,0
16,11,webp,evaluatie_afbeeldingen/evaluatiereeks/11.webp,0,1,394292,3,4,5,4,male,21,0,0,0
17,12,jpf,evaluatie_afbeeldingen/evaluatiereeks/12.jpf,0,0,1462256,3,5,4,4,male,21,0,0,0
18,12,jpg,evaluatie_afbeeldingen/evaluatiereeks/12.jpg,0,1,940917,3,5,4,5,male,21,0,0,0
19,12,png,evaluatie_afbeeldingen/evaluatiereeks/12.png,0,0,1928565,3,5,5,5,male,21,0,0,0
20,12,webp,evaluatie_afbeeldingen/evaluatiereeks/12.webp,0,1,607660,3,3,4,4,male,21,0,0,0
21,13,jpf,evaluatie_afbeeldingen/evaluatiereeks/13.jpf,0,0,1267904,3,4,4,4,male,21,0,0,0
22,13,jpg,evaluatie_afbeeldingen/evaluatiereeks/13.jpg,0,1,742574,3,5,5,5,male,21,0,0,0
23,13,png,evaluatie_afbeeldingen/evaluatiereeks/13.png,0,0,1707170,3,5,5,5,male,21,0,0,0
24,13,webp,evaluatie_afbeeldingen/evaluatiereeks/13.webp,0,1,497034,3,5,5,5,male,21,0,0,0
25,14,jpf,evaluatie_afbeeldingen/evaluatiereeks/14.jpf,0,0,1595469,3,4,4,4,male,21,0,0,0
26,14,jpg,evaluatie_afbeeldingen/evaluatiereeks/14.jpg,0,1,1004143,3,4,5,4,male,21,0,0,0
27,14,png,evaluatie_afbeeldingen/evaluatiereeks/14.png,0,0,2140382,3,4,4,4,male,21,0,0,0
28,14,webp,evaluatie_afbeeldingen/evaluatiereeks/14.webp,0,1,1490900,3,4,4,4,male,21,0,0,0
29,15,jpf,evaluatie_afbeeldingen/evaluatiereeks/15.jpf,0,0,1507942,3,4,4,4,male,21,0,0,0
30,15,jpg,evaluatie_afbeeldingen/evaluatiereeks/15.jpg,0,1,868883,3,5,5,5,male,21,0,0,0
31,15,png,evaluatie_afbeeldingen/evaluatiereeks/15.png,0,0,1945990,3,4,4,4,male,21,0,0,0
32,15,webp,evaluatie_afbeeldingen/evaluatiereeks/15.webp,0,1,1402662,3,4,4,4,male,21,0,0,0
33,3,jpf,evaluatie_afbeeldingen/evaluatiereeks/3.jpf,0,0,743355,3,4,4,4,male,21,0,0,0
34,3,jpg,evaluatie_afbeeldingen/evaluatiereeks/3.jpg,0,1,161146,3,4,4,4,male,21,0,0,0
35,3,png,evaluatie_afbeeldingen/evaluatiereeks/3.png,0,0,1634356,3,4,4,4,male,21,0,0,0
36,3,webp,evaluatie_afbeeldingen/evaluatiereeks/3.webp,0,1,61688,3,4,4,4,male,21,0,0,0
37,4,jpf,evaluatie_afbeeldingen/evaluatiereeks/4.jpf,0,0,722209,3,5,4,4,male,21,0,0,0
38,4,jpg,evaluatie_afbeeldingen/evaluatiereeks/4.jpg,0,1,170414,3,4,4,4,male,21,0,0,0
39,4,png,evaluatie_afbeeldingen/evaluatiereeks/4.png,0,0,1555229,3,4,4,4,male,21,0,0,0
40,4,webp,evaluatie_afbeeldingen/evaluatiereeks/4.webp,0,1,62528,3,4,4,4,male,21,0,0,0
41,5,jpf,evaluatie_afbeeldingen/evaluatiereeks/5.jpf,0,0,778830,3,5,4,4,male,21,0,0,0
42,5,jpg,evaluatie_afbeeldingen/evaluatiereeks/5.jpg,0,1,190806,3,5,5,5,male,21,0,0,0
43,5,png,evaluatie_afbeeldingen/evaluatiereeks/5.png,0,0,1741424,3,5,5,5,male,21,0,0,0
44,5,webp,evaluatie_afbeeldingen/evaluatiereeks/5.webp,0,1,80974,3,5,4,4,male,21,0,0,0
45,6,jpf,evaluatie_afbeeldingen/evaluatiereeks/6.jpf,0,0,968331,3,4,5,4,male,21,0,0,0
46,6,jpg,evaluatie_afbeeldingen/evaluatiereeks/6.jpg,0,1,281121,3,4,2,3,male,21,0,0,0
47,6,png,evaluatie_afbeeldingen/evaluatiereeks/6.png,0,0,1536825,3,4,3,3,male,21,0,0,0
48,6,webp,evaluatie_afbeeldingen/evaluatiereeks/6.webp,0,1,70210,3,4,3,4,male,21,0,0,0
49,7,jpf,evaluatie_afbeeldingen/evaluatiereeks/7.jpf,0,0,1227009,3,5,4,4,male,21,0,0,0
50,7,jpg,evaluatie_afbeeldingen/evaluatiereeks/7.jpg,0,1,431208,3,5,5,5,male,21,0,0,0
51,7,png,evaluatie_afbeeldingen/evaluatiereeks/7.png,0,0,2016271,3,5,5,5,male,21,0,0,0
52,7,webp,evaluatie_afbeeldingen/evaluatiereeks/7.webp,0,1,144508,3,5,5,5,male,21,0,0,0
53,8,jpf,evaluatie_afbeeldingen/evaluatiereeks/8.jpf,0,0,1695416,3,3,4,3,male,21,0,0,0
54,8,jpg,evaluatie_afbeeldingen/evaluatiereeks/8.jpg,0,1,704914,3,5,5,5,male,21,0,0,0
55,8,png,evaluatie_afbeeldingen/evaluatiereeks/8.png,0,0,2823455,3,3,4,3,male,21,0,0,0
56,8,webp,evaluatie_afbeeldingen/evaluatiereeks/8.webp,0,1,325328,3,3,4,3,male,21,0,0,0
57,9,jpf,evaluatie_afbeeldingen/evaluatiereeks/9.jpf,0,0,1080728,3,4,4,4,male,21,0,0,0
58,9,jpg,evaluatie_afbeeldingen/evaluatiereeks/9.jpg,0,1,327540,3,5,4,4,male,21,0,0,0
59,9,png,evaluatie_afbeeldingen/evaluatiereeks/9.png,0,0,1863835,3,4,5,4,male,21,0,0,0
60,9,webp,evaluatie_afbeeldingen/evaluatiereeks/9.webp,0,1,95830,3,3,4,3,male,21,0,0,0
1,1,jpf,evaluatie_afbeeldingen/testreeks/1.jpf,1,0,822933,4,4,3,3,male,27,0,0,0
2,1,jpg,evaluatie_afbeeldingen/testreeks/1.jpg,1,1,206934,4,3,4,4,male,27,0,0,0
3,1,png,evaluatie_afbeeldingen/testreeks/1.png,1,0,1814962,4,4,4,4,male,27,0,0,0
4,1,webp,evaluatie_afbeeldingen/testreeks/1.webp,1,1,84904,4,2,4,4,male,27,0,0,0
5,2,jpf,evaluatie_afbeeldingen/testreeks/2.jpf,1,0,1246850,4,2,4,4,male,27,0,0,0
6,2,jpg,evaluatie_afbeeldingen/testreeks/2.jpg,1,1,387401,4,3,4,4,male,27,0,0,0
7,2,png,evaluatie_afbeeldingen/testreeks/2.png,1,0,2701552,4,4,4,5,male,27,0,0,0
8,2,webp,evaluatie_afbeeldingen/testreeks/2.webp,1,1,281960,4,2,4,4,male,27,0,0,0
9,10,jpf,evaluatie_afbeeldingen/evaluatiereeks/10.jpf,0,0,1007063,4,3,4,5,male,27,0,0,0
10,10,jpg,evaluatie_afbeeldingen/evaluatiereeks/10.jpg,0,1,284665,4,3,4,4,male,27,0,0,0
11,10,png,evaluatie_afbeeldingen/evaluatiereeks/10.png,0,0,1628400,4,5,4,5,male,27,0,0,0
12,10,webp,evaluatie_afbeeldingen/evaluatiereeks/10.webp,0,1,442500,4,5,4,5,male,27,0,0,0
